Region,YearMonth,T2M,PRECTOTCORR,WS2M,RH2M
Singida,2022-02-01,19.170357142857142,379.45,1.3692857142857144,86.24392857142857
Singida,2022-03-01,20.953225806451613,105.09,1.8383870967741935,79.70677419354838
Singida,2022-04-01,20.504,61.83,2.7036666666666664,77.79933333333334
Singida,2022-05-01,19.773225806451613,16.41,3.176774193548387,73.29387096774194
Singida,2022-06-01,17.706666666666667,34.510000000000005,3.45,71.69366666666666
Singida,2022-07-01,17.47225806451613,45.07,3.7519354838709678,69.05806451612904
Singida,2022-08-01,19.003548387096775,20.61,3.700967741935484,62.63548387096775
Singida,2022-09-01,20.696,12.44,4.057666666666667,58.50566666666667
Singida,2022-10-01,22.22741935483871,0.45,4.191935483870967,49.63129032258065
Singida,2022-11-01,22.60533333333333,113.04,3.5863333333333336,60.729
Singida,2022-12-01,22.095161290322583,116.21000000000001,2.427741935483871,67.08645161290322
Singida,2023-01-01,20.96516129032258,82.54,2.1258064516129034,70.9258064516129
Singida,2023-02-01,21.71357142857143,114.08,1.799642857142857,71.35392857142857
Singida,2023-03-01,21.05290322580645,306.07,1.6561290322580644,76.69967741935484
Singida,2023-04-01,20.506000000000004,151.60999999999999,2.875,79.61
Singida,2023-05-01,20.735806451612902,35.62,2.9609677419354843,72.4241935483871
Singida,2023-06-01,19.868666666666666,8.18,3.1006666666666667,66.82466666666667
Singida,2023-07-01,19.013548387096773,2.81,3.5880645161290325,61.66451612903226
Singida,2023-08-01,19.606129032258064,137.01000000000002,3.7735483870967745,66.17709677419354
Singida,2023-09-01,22.662333333333333,5.51,3.838,56.480000000000004
Singida,2023-10-01,23.743548387096773,13.86,4.451935483870967,53.52161290322581
Singida,2023-11-01,21.86,203.49,3.9596666666666662,72.256
Singida,2023-12-01,21.686774193548384,254.4,2.1754838709677418,78.62709677419355
Singida,2024-01-01,20.286451612903225,502.78999999999996,1.5351612903225809,84.98612903225806
Singida,2024-02-01,21.224482758620688,227.84,1.5620689655172413,83.69620689655173
Singida,2024-03-01,20.635483870967743,84.7,2.287741935483871,85.87354838709678
Singida,2024-04-01,19.775,173.53,2.759,86.68433333333333
Singida,2024-05-01,18.845483870967744,18.28,2.7748387096774194,84.4841935483871
Singida,2024-06-01,17.098666666666666,7.0200000000000005,2.9746666666666663,78.85333333333332
Singida,2024-07-01,17.786451612903225,1.75,2.6858064516129034,73.1258064516129
Singida,2024-08-01,18.97225806451613,1.8699999999999999,3.533225806451613,65.92516129032258
Singida,2024-09-01,21.396666666666665,3.06,3.880666666666667,58.417
Singida,2024-10-01,22.969354838709677,33.989999999999995,3.6196774193548387,58.11129032258064
Singida,2024-11-01,23.73,89.22,3.4063333333333334,59.964333333333336
Singida,2024-12-01,20.969032258064516,353.08,2.039032258064516,80.72322580645161
Manyara,2000-01-01,24.07,24.09,3.174516129032258,55.18
Manyara,2000-02-01,24.564137931034484,16.46,2.6889655172413796,50.59310344827586
Manyara,2000-03-01,23.31,42.59,2.868387096774194,66.2041935483871
Manyara,2000-04-01,22.065,56.42,3.3276666666666666,72.92833333333333
Manyara,2000-05-01,20.836774193548386,31.85,3.6138709677419354,72.54677419354839
Manyara,2000-06-01,19.182333333333336,27.7,3.7760000000000002,70.95
Manyara,2000-07-01,18.87516129032258,8.67,3.77258064516129,66.12322580645161
Manyara,2000-08-01,19.480645161290322,18.580000000000002,4.280322580645161,66.50806451612904
Manyara,2000-09-01,20.44066666666667,21.240000000000002,4.613666666666666,63.79866666666667
Manyara,2000-10-01,22.128709677419355,9.66,4.480645161290322,59.69483870967742
Manyara,2000-11-01,22.884999999999998,88.05,3.546666666666667,66.76466666666667
Manyara,2000-12-01,22.328064516129032,104.86,2.633225806451613,73.66258064516128
Manyara,2001-01-01,21.99967741935484,89.94,1.7238709677419355,73.69612903225806
Manyara,2001-02-01,23.65107142857143,19.64,2.6882142857142854,65.75964285714285
Manyara,2001-03-01,23.133225806451613,49.51,2.623548387096774,66.43709677419355
Manyara,2001-04-01,22.333333333333332,48.32,3.292666666666667,73.38666666666667
Manyara,2001-05-01,21.720967741935485,19.2,3.7061290322580644,69.12612903225806
Manyara,2001-06-01,19.913999999999998,11.82,3.55,66.19
Manyara,2001-07-01,19.239677419354837,4.63,3.64,63.528387096774196
Manyara,2001-08-01,20.01774193548387,4.11,4.04258064516129,60.168064516129036
Manyara,2001-09-01,21.692999999999998,1.41,4.2043333333333335,57.53666666666666
Manyara,2001-10-01,22.86032258064516,5.4,4.56,57.77935483870968
Manyara,2001-11-01,22.839,58.93,3.9313333333333333,64.32833333333333
Manyara,2001-12-01,22.95451612903226,58.4,3.5974193548387094,68.29193548387097
Manyara,2002-01-01,21.93064516129032,152.79999999999998,2.0841935483870966,73.38580645161291
Manyara,2002-02-01,23.400000000000002,64.22,2.4239285714285717,64.65642857142858
Manyara,2002-03-01,22.072903225806453,114.0,2.2780645161290325,77.94580645161291
Manyara,2002-04-01,21.812666666666665,78.8,3.363,77.97033333333334
Manyara,2002-05-01,21.10483870967742,26.37,3.0135483870967743,71.18354838709678
Manyara,2002-06-01,19.782666666666668,2.95,3.098,64.00833333333334
Manyara,2002-07-01,19.89516129032258,3.99,3.784838709677419,65.91903225806452
Manyara,2002-08-01,19.41032258064516,23.65,4.29516129032258,67.41258064516128
Manyara,2002-09-01,20.865333333333336,22.96,4.554333333333333,64.77766666666666
Manyara,2002-10-01,21.905806451612904,142.85,4.45258064516129,65.34806451612903
Manyara,2002-11-01,22.073,72.51,3.195333333333333,73.22
Manyara,2002-12-01,22.083225806451615,176.73999999999998,2.6196774193548387,76.98870967741935
Manyara,2003-01-01,22.78838709677419,31.81,2.3648387096774193,66.56258064516129
Manyara,2003-02-01,23.58142857142857,44.17,2.240357142857143,64.1025
Manyara,2003-03-01,24.192258064516132,51.989999999999995,2.7683870967741933,62.77967741935484
Manyara,2003-04-01,22.778333333333332,31.51,2.9633333333333334,69.631
Manyara,2003-05-01,20.893870967741936,131.51,2.9351612903225806,78.50612903225807
Manyara,2003-06-01,19.845666666666666,15.18,3.278,71.43599999999999
Manyara,2003-07-01,19.177096774193547,4.79,3.6525806451612906,64.76161290322581
Manyara,2003-08-01,20.188387096774196,2.9,4.017096774193549,61.2
Manyara,2003-09-01,21.422666666666665,6.07,4.804666666666666,61.875
Manyara,2003-10-01,22.405161290322578,27.39,4.393225806451613,62.08709677419355
Manyara,2003-11-01,23.450333333333333,23.64,3.9006666666666665,62.38699999999999
Manyara,2003-12-01,24.11806451612903,27.96,3.4106451612903226,59.08838709677419
Manyara,2004-01-01,23.20225806451613,135.48,2.7109677419354843,71.25225806451614
Manyara,2004-02-01,22.57344827586207,121.6,2.4286206896551725,73.8944827586207
Manyara,2004-03-01,22.907096774193548,73.41,2.5393548387096776,72.43870967741935
Manyara,2004-04-01,21.503333333333334,107.91,2.8433333333333333,78.94333333333334
Manyara,2004-05-01,20.989677419354837,5.89,3.0183870967741933,69.41451612903225
Manyara,2004-06-01,19.017333333333333,10.6,3.5506666666666664,68.12366666666667
Manyara,2004-07-01,19.08225806451613,2.27,3.642258064516129,63.38612903225807
Manyara,2004-08-01,19.94935483870968,1.26,4.3183870967741935,61.49322580645161
Manyara,2004-09-01,21.753666666666668,5.82,4.4830000000000005,60.775
Manyara,2004-10-01,22.248709677419356,31.03,4.446451612903226,63.63322580645161
Manyara,2004-11-01,22.961333333333336,64.52,4.034,66.45566666666667
Manyara,2004-12-01,22.81064516129032,98.72,2.73258064516129,70.81387096774193
Manyara,2005-01-01,23.49516129032258,139.18,2.6406451612903226,63.509354838709676
Manyara,2005-02-01,23.93392857142857,17.73,2.6078571428571427,61.6725
Manyara,2005-03-01,22.69161290322581,130.95,2.2448387096774196,72.86419354838709
Manyara,2005-04-01,21.279,219.46,2.637,82.57966666666667
Manyara,2005-05-01,20.568064516129034,54.81,2.987096774193548,77.26741935483871
Manyara,2005-06-01,19.673000000000002,4.44,3.232666666666667,73.00733333333332
Manyara,2005-07-01,18.942580645161293,2.28,3.592258064516129,67.67709677419354
Manyara,2005-08-01,19.732580645161292,18.21,4.098064516129032,65.5641935483871
Manyara,2005-09-01,20.982666666666667,9.92,4.345666666666667,63.041333333333334
Manyara,2005-10-01,21.944193548387098,22.64,4.4148387096774195,62.23451612903226
Manyara,2005-11-01,23.304666666666666,21.32,4.099,63.79233333333333
Manyara,2005-12-01,24.13,22.98,3.6277419354838707,58.59806451612903
Manyara,2006-01-01,24.19161290322581,35.69,3.3848387096774197,59.98129032258065
Manyara,2006-02-01,25.012857142857143,38.79,2.9810714285714286,58.0875
Manyara,2006-03-01,21.503225806451614,228.96,2.023548387096774,80.89032258064516
Manyara,2006-04-01,20.971,88.34,2.7013333333333334,81.44766666666666
Manyara,2006-05-01,20.82741935483871,37.83,3.1525806451612906,76.67483870967742
Manyara,2006-06-01,19.254666666666665,18.13,3.3666666666666667,72.44633333333333
Manyara,2006-07-01,18.767096774193547,3.52,3.6751612903225808,70.68967741935484
Manyara,2006-08-01,20.29258064516129,5.22,4.027741935483871,65.78032258064516
Manyara,2006-09-01,20.720333333333333,18.57,4.738333333333333,65.50466666666667
Manyara,2006-10-01,21.86741935483871,54.67,4.3745161290322585,66.96483870967741
